episode;steps;reward;average
272;499;58.879551894363374;49.36323835413819
273;499;166.827214875549;50.02405411389786
274;499;64.70029253223944;50.81514439295181
275;499;92.96808886773802;52.345606199415755
276;499;97.73436154634626;53.27201931536512
277;499;110.87446912285394;53.20341253927622
278;499;73.95188993676985;53.33251186870867
279;141;-3.7837490252220505;53.68618973890463
280;499;159.42126491701325;55.582779924761944
281;499;71.93771067391194;55.593834229756546
282;499;131.34638529791619;55.628468745202355
283;499;121.78011958011535;56.6850525838896
284;499;115.2824796539721;57.89454255209031
285;441;227.64365812966213;59.800631883209746
286;499;92.05617806214688;62.27431397032102
287;110;6.301491715918189;62.81072615265333
288;499;174.727002239874;64.51534386809425
289;499;109.15989420210433;65.77750968910642
290;499;-46.35718055623195;64.40582153097729
291;499;111.60530737405584;67.3068589619139
292;499;142.77264917283435;67.91600351053575
293;255;35.92260968678258;67.46916874834956
294;499;-55.76611806698115;66.10853238036702
295;499;28.694955952293277;67.20054554510244
296;499;130.34914228847373;69.6658247401913
297;499;175.45503887853374;71.09734379228847
298;499;75.29790253243297;71.28367345325508
299;499;160.85510845519468;73.47245760168224
300;125;-43.120750962012096;71.71711895724654
301;499;100.54489182610939;75.42772106744145
302;234;-147.39035014663352;72.8547339523704
303;499;75.41628840255271;72.38059470937903
304;499;167.77810126492034;73.34225677967044
305;499;149.16834208568685;74.40547523121096
306;366;277.8999281282561;76.02092398025178
307;499;116.98536669927972;75.91042932811148
308;499;162.90559701040004;76.32043542977407
309;499;147.37761922847002;77.42090860696129
310;499;134.131440826539;77.76962974271594
311;499;172.20701368487892;78.41117655478233
312;499;76.39290658097596;77.85177816824063
313;451;203.4466820673096;78.66984236854192
314;499;51.65746691701638;77.82611194770845
315;499;156.08349645706878;78.14874145400894
316;499;-18.70106809979045;77.08897977464692
317;499;117.72165744310351;78.64322623045523
318;499;177.10052041668848;81.40470130325537
319;499;155.43003582256142;81.03440348616135
320;499;109.01747076913087;80.6513592535772
321;499;194.60127014241914;82.22433118380788
322;499;40.119431981272164;82.89639457194855
323;499;46.241766907781276;82.1905600561457
324;499;166.7919251023922;82.57642996720246
325;393;271.31888313569766;84.32461708086663
326;118;-102.72051420198136;83.5549750359224
327;499;51.52503842882193;82.97637638748661
328;499;116.32542156276794;83.77318909608725
329;499;77.025734854924;83.61474184858842
330;325;282.1221734014179;85.50656617623446
331;499;142.63299914999865;86.69232082794332
332;499;104.24681637343525;87.24740044369408
333;499;103.90378816542352;87.34553554528352
334;379;231.21871742577207;88.47518822633812
335;499;162.56884219862954;88.78120342765065
336;499;66.14998845623307;88.3043896508412
337;499;119.64507088421703;88.35251251756037
338;499;154.29336464509032;89.94059182203722
339;499;64.96030036178395;89.82727200774649
340;499;123.94613288202859;90.47585058644123
341;499;108.45448416501222;90.05198328954462
342;118;-5.369722218362966;89.9430420177907
343;355;279.740660018515;92.35289939180271
344;499;143.3933669297113;93.24601812413636
345;499;114.45791971831365;93.54564886313457
346;499;116.38977542545983;93.40449906628054
347;499;169.00857449785045;94.29669678770468
348;499;144.9568768413932;95.2831201115701
349;499;137.811635780239;95.64143054157051
350;499;150.81255770291745;97.0696132622283
351;499;169.680751728892;97.8940186551348
352;499;129.58932703356444;98.1881260855659
353;499;98.21903145589557;98.22231450731911
354;499;108.20395056223758;97.96139288392091
355;499;51.057933497085685;101.16471769615913
356;499;102.38300664115712;101.34201475701833
357;371;255.50584559391837;102.92439707394304
358;499;132.49661892591604;106.24067059628223
359;499;144.20441890184372;105.62823990399986
360;499;109.3003229195658;107.39601298783533
361;499;70.1760660620197;111.02414345262032
362;414;205.45018061195256;111.98770482936494
363;499;128.0924570750438;112.52708498847596
364;499;172.25610263578642;112.7104133489002
365;499;143.94640368782072;114.4541166622535
366;499;89.31275722653898;113.71202500984329
367;499;112.9728764148265;113.30437295102695
368;499;111.39605953829798;113.26668289184312
369;499;44.49766626301154;112.16316042267276
370;499;158.2726816478306;112.34495457633841
371;499;168.47835805683854;114.5475647356239
372;499;115.2292012588369;115.11106122926863
373;499;131.26298852590475;114.7554189657722
374;499;136.93684754133017;115.47778451586309
375;347;251.22983664890765;117.0604019936748
376;499;173.74207773222707;117.82047915553363
377;391;260.49634949668314;119.31669795927192
378;499;59.16443493143741;119.16882340921859
379;499;137.55871997405725;120.58224809921137
380;461;262.49435896577086;121.61297903969894
381;499;86.30449963660729;121.75664692932588
382;499;138.6649228062157;121.82983230440888
383;499;146.81524986664365;122.08018360727418
384;499;80.08168783394791;121.72817568907394
385;499;101.58025514636643;120.46754165924098
386;368;239.85314262644496;121.94551130488396
387;499;82.63654042690742;122.70886179199385
388;451;281.74801957332534;123.77907196532837
389;353;242.4234624156966;125.1117076474643
390;499;99.90639553987103;126.57434340842532
391;499;139.74630018489458;126.8557533365337
392;323;211.29649463411613;127.5409917911465
393;472;215.44434338757617;129.33620912815445
394;499;158.10096038112985;131.47487991263554
395;499;178.23804006405837;132.9703107537532
396;499;133.53912890677393;133.00221061993622
397;402;6.22870953566057;131.30994732650746
398;355;246.1596230514955;133.01856453169808
399;499;133.27208003978205;132.74273424754398
400;499;93.63550811734203;134.11029683833752
401;499;91.94144625675655;134.024262382644
402;499;114.79168412900442;136.64608272540036
403;499;74.4883309905223;136.63680315128005
404;499;165.13527083266902;136.61037484695754
405;296;258.111508234574;137.69980650844641
406;499;146.16295737525923;136.38243680091645
407;487;192.4521034188081;137.1371041681117
408;364;251.94819350889915;138.02753013309675
409;499;43.20270964223986;136.98578103723443
410;499;125.01864518828052;136.89465308085184
411;435;245.0108729253111;137.62269167325618
412;412;218.45789494477233;139.04334155689415
413;297;245.41107286969086;139.46298546491795
414;366;288.3814580352067;141.83022537609983
415;451;256.71051506800734;142.83649556220925
416;265;253.68204188074972;145.56032666201463
417;239;282.90652108652154;147.2121752984488
418;368;228.31831792744205;147.72435327355635
419;499;198.31141851985493;148.1531671005293
420;189;42.35385446427071;147.4865309374807
421;499;157.33798521279863;147.11389808818447
422;396;194.45183433850207;148.6572221117568
423;499;96.7013839954739;149.1618182826337
424;499;134.8638164380308;148.84253719599008
