episode;steps;reward;average
443;421;273.97543121197714;103.42979672863162
444;295;237.61815283033894;105.8102528448416
445;499;144.8735189051187;105.88540915040558
446;244;-158.09465788069508;101.64776491190419
447;474;237.14405610892578;102.83081700498566
448;499;27.832431520370935;103.18372068181344
449;199;225.02095789233536;104.02854807334482
450;257;260.19970563314604;105.46148747072088
451;499;147.60429112973702;105.86567463561468
452;459;231.400030400078;106.80094073425963
453;189;252.23802137066434;107.84264685518072
454;199;217.52605771951363;109.29240914813482
455;352;241.7817854418801;110.34784141827465
456;499;83.10964979704116;109.88572041934626
457;499;116.21331807705104;109.7714799123313
458;245;246.01778713787107;111.53948842968695
459;245;288.3777646130342;114.01114329433949
460;499;103.28321184231898;112.91055962592262
461;395;153.95754223625;113.55029081548376
462;220;262.57577736307485;115.9417047805375
463;474;255.20276886192596;116.31310864862412
464;232;310.2047204957205;118.91000544535315
465;241;251.27417803265163;120.54234125788112
466;499;120.15238405467092;121.84721815523872
467;499;84.98172468511166;122.09437551992607
468;499;68.19566121819912;121.46177085127064
469;471;276.99801649837536;123.00965942008655
470;462;236.21796209587217;125.7062853491235
471;295;250.50023687837108;126.85854027514013
472;430;239.26825642769666;128.6094537842399
473;337;270.48124880624243;130.5369546896275
474;397;243.96466110000145;132.58545966570082
475;326;257.3074880443619;134.28333938459198
476;499;128.07976776936636;136.08434213728825
477;395;211.2591550734122;137.444941020871
478;306;286.9860259163032;137.92315668655021
479;499;78.35559039316969;138.07197245100937
480;414;217.51496578196932;138.9706721543624
481;499;150.61831828594308;142.51493734142647
482;439;209.43662596718457;143.56209394068685
483;397;258.8091443503773;144.9761256663701
484;499;75.83835232657641;144.50812241850707
485;499;103.1329447556352;143.73934838485224
486;339;245.48838318441983;145.75889145111012
487;450;284.61201489862674;146.99642435193323
488;313;188.00736306324146;148.96771381227356
489;499;139.78197765394688;149.07087145866143
490;454;237.16035393438486;149.53161577319338
491;499;123.24293791689482;148.46399220550552
492;268;249.9022712192192;148.67325908833726
493;375;298.1422741478742;149.25224440630504
494;279;297.22122210764957;149.9645682524237
495;182;264.26677735156954;151.12874550498398
496;477;185.89224542352503;152.99592248631873
497;386;278.98961873863067;158.51645791326018
498;352;222.31113882239646;159.9039923638653
499;499;111.24845690344557;158.77707011765892
500;499;158.93919265232756;157.77009675357766
501;414;257.56594311237086;159.3236083990278
502;499;148.46644370874358;160.68365321259614
503;334;237.20037964985178;162.15288823300355
504;499;131.2073966035457;162.03841094889995
505;407;244.54592631917865;164.2598338175402
506;379;286.2357625176365;170.78904356896078
507;499;139.93436215313682;170.34209481201572
508;486;243.40928906139274;170.0643249988887
509;493;249.79460399469295;170.30770895873454
510;499;84.21559406779578;170.36712025755355
511;133;-6.805337094202841;167.87658708775234
512;362;271.49547230693065;169.39471237618244
